iter	MultiClass
0	1.546432635
1	1.493822425
2	1.438244533
3	1.392908552
4	1.358824631
5	1.319181931
6	1.290119767
7	1.260709546
8	1.236652966
9	1.210273537
10	1.188486897
11	1.166096183
12	1.142595021
13	1.129200363
14	1.112896582
15	1.096309173
16	1.0826482
17	1.071234339
18	1.055502607
19	1.044585826
20	1.033719576
21	1.024077354
22	1.014779315
23	1.002542341
24	0.9942351704
25	0.9829603978
26	0.9729948531
27	0.9630246386
28	0.954956044
29	0.945788447
30	0.9397123339
31	0.9311033838
32	0.9248972473
33	0.9184752423
34	0.9129263556
35	0.9082955535
36	0.9002403383
37	0.8954097181
38	0.8906209243
39	0.8856752437
40	0.8826882336
41	0.8778749367
42	0.8722419433
43	0.8660989079
44	0.8613014801
45	0.8565619602
46	0.8520676137
47	0.8495117553
48	0.8462897147
49	0.8434393347
50	0.838374023
51	0.8342285991
52	0.8306168211
53	0.8264752383
54	0.8213713842
55	0.8172380958
56	0.8143064729
57	0.8112608848
58	0.8074863173
59	0.8035919937
60	0.7991101499
61	0.7954009999
62	0.7914352159
63	0.789147655
64	0.7872351964
65	0.783303721
66	0.781200383
67	0.7769568816
68	0.7742768626
69	0.7709249753
70	0.768172112
71	0.76543212
72	0.7621699833
73	0.7586120774
74	0.7557792308
75	0.7526497193
76	0.7487666684
77	0.7449170283
78	0.7421867647
79	0.7383667269
80	0.7367039053
81	0.733508994
82	0.730633782
83	0.7276965095
84	0.7258691677
85	0.724174282
86	0.7207736407
87	0.7179220246
88	0.715176862
89	0.7123167682
90	0.7099896917
91	0.7073996948
92	0.7051561101
93	0.7033700883
94	0.7003172272
95	0.6988568535
96	0.696990846
97	0.6950755887
98	0.6913834755
99	0.6881455907
100	0.6865714408
101	0.6827516247
102	0.6795593316
103	0.6762857304
104	0.6747998613
105	0.6727756322
106	0.6714427647
107	0.6683159245
108	0.6665432955
109	0.6637962098
110	0.659785363
111	0.6574724532
112	0.6565267486
113	0.6548761554
114	0.6514930636
115	0.648083206
116	0.6461889992
117	0.6435662549
118	0.6412858276
119	0.6392938754
120	0.6362795389
121	0.6341588816
122	0.6321133292
123	0.6301089046
124	0.6279011473
125	0.6250801064
126	0.6233988203
127	0.6201308384
128	0.6190563743
129	0.6166924864
130	0.6151697107
131	0.6139287777
132	0.6121909187
133	0.6106461116
134	0.6086913673
135	0.6055759096
136	0.6041487462
137	0.6016397912
138	0.5997250507
139	0.59788582
140	0.5956309358
141	0.5943940521
142	0.5927399788
143	0.5903579062
144	0.5877444615
145	0.5856743999
146	0.5836714479
147	0.5808253743
148	0.5784441202
149	0.5772968241
150	0.5750299846
151	0.5733915299
152	0.5716676603
153	0.5692964955
154	0.5671554416
155	0.5658738508
156	0.5643812256
157	0.5631559603
158	0.5603860405
159	0.5583678511
160	0.5570697085
161	0.5549925037
162	0.5537625387
163	0.5518824372
164	0.5495724861
165	0.547718496
166	0.5452705592
167	0.5438064708
168	0.5423010009
169	0.5397993663
170	0.5388083358
171	0.5371667389
172	0.534567394
173	0.5324354161
174	0.531357471
175	0.5296156515
176	0.5275356065
177	0.5258294498
178	0.5242575028
179	0.5231850947
180	0.5217636716
181	0.520097788
182	0.5175328415
183	0.5169187165
184	0.5148838809
185	0.5131084049
186	0.5120746033
187	0.5109896204
188	0.5097458214
189	0.5080556071
190	0.5072917667
191	0.5060273791
192	0.5047681667
193	0.5027808658
194	0.5011650707
195	0.4999062041
196	0.498320446
197	0.4967720018
198	0.4957354836
199	0.4941462079
200	0.4927547829
201	0.4911362859
202	0.4894755138
203	0.4886114069
204	0.4869086409
205	0.4847934773
206	0.4839591725
207	0.4824243621
208	0.481821868
209	0.4801659973
210	0.4783761571
211	0.4769461829
212	0.4762208228
213	0.4746958714
214	0.4729709598
215	0.4720804016
216	0.4710960612
217	0.4695615587
218	0.4682627577
219	0.4674772614
220	0.4657287823
221	0.4642447732
222	0.4635875844
223	0.4631729732
224	0.4628879806
225	0.461598911
226	0.4604516688
227	0.4584678924
228	0.4579306047
229	0.4559148832
230	0.4544625336
231	0.4535846375
232	0.4525059947
233	0.4515847973
234	0.4497380872
235	0.448367809
236	0.4468317535
237	0.4458589241
238	0.4442870388
239	0.4432638414
240	0.4425358025
241	0.4412459987
242	0.440042698
243	0.4387682404
244	0.4375258095
245	0.4361249376
246	0.4348070182
247	0.434083416
248	0.4328931213
249	0.4310246502
