iter	Passed	Remaining
0	137	137763
1	140	70288
2	143	47744
3	146	36476
4	149	29720
5	152	25251
6	155	22021
7	158	19600
8	161	17733
9	163	16220
10	167	15019
11	169	13992
12	173	13147
13	176	12403
14	179	11764
15	182	11244
16	185	10748
17	189	10347
18	192	9947
19	196	9620
20	199	9296
21	203	9055
22	207	8794
23	210	8573
24	214	8370
25	217	8156
26	221	7980
27	225	7811
28	229	7672
29	232	7511
30	236	7386
31	241	7293
32	245	7188
33	249	7089
34	253	6986
35	257	6892
36	260	6785
37	264	6696
38	268	6618
39	272	6532
40	276	6462
41	280	6389
42	284	6327
43	288	6265
44	292	6198
45	296	6157
46	301	6121
47	305	6067
48	309	6016
49	314	5968
50	319	5949
51	323	5905
52	330	5898
53	336	5892
54	342	5883
55	348	5868
56	352	5831
57	356	5791
58	363	5803
59	370	5801
60	375	5785
61	382	5784
62	386	5755
63	391	5722
64	395	5687
65	400	5663
66	404	5632
67	410	5626
68	416	5614
69	420	5585
70	424	5557
71	429	5531
72	433	5502
73	438	5484
74	442	5458
75	446	5433
76	450	5405
77	455	5388
78	460	5371
79	465	5349
80	469	5324
81	473	5295
82	476	5269
83	480	5243
84	484	5219
85	488	5194
86	492	5168
87	496	5144
88	500	5120
89	504	5097
90	507	5073
91	511	5051
92	515	5029
93	519	5010
94	523	4990
95	527	4968
96	531	4945
97	534	4923
98	538	4902
99	542	4885
100	546	4867
101	550	4849
102	554	4832
103	559	4816
104	563	4802
105	567	4784
106	571	4765
107	575	4749
108	579	4734
109	583	4718
110	587	4703
111	592	4693
112	596	4678
113	600	4668
114	605	4661
115	610	4650
116	614	4639
117	619	4626
118	624	4620
119	628	4606
120	632	4593
121	636	4579
122	640	4566
123	644	4551
124	649	4543
125	653	4531
126	657	4518
127	661	4506
128	665	4492
129	669	4480
130	673	4466
131	677	4452
132	680	4439
133	684	4424
134	688	4410
135	691	4396
136	695	4382
137	699	4369
138	703	4356
139	707	4343
140	710	4329
141	714	4315
142	718	4303
143	721	4291
144	725	4278
145	729	4267
146	733	4255
147	736	4242
148	740	4229
149	744	4217
150	747	4205
151	751	4193
152	755	4182
153	759	4171
154	763	4159
155	768	4159
156	772	4148
157	777	4143
158	781	4132
159	785	4123
160	789	4112
161	793	4102
162	796	4090
163	800	4081
164	804	4069
165	809	4065
166	812	4054
167	816	4044
168	820	4035
169	824	4026
170	828	4017
171	832	4009
172	837	4001
173	841	3993
174	844	3983
175	849	3977
176	853	3970
177	858	3962
178	862	3956
179	866	3948
180	871	3943
181	875	3935
182	879	3925
183	884	3921
184	888	3915
185	892	3905
186	896	3898
187	900	3890
188	905	3883
189	909	3877
190	913	3867
191	917	3862
192	921	3852
193	925	3846
194	930	3839
195	933	3831
196	938	3825
197	942	3817
198	947	3812
199	952	3808
200	956	3800
201	960	3793
202	964	3787
203	968	3778
204	973	3774
205	978	3770
206	982	3762
207	986	3757
208	990	3749
209	994	3742
210	998	3734
211	1002	3725
212	1006	3720
213	1010	3712
214	1014	3705
215	1019	3699
216	1022	3690
217	1027	3684
218	1031	3678
219	1035	3669
220	1039	3662
221	1043	3655
222	1046	3647
223	1050	3639
224	1054	3630
225	1057	3623
226	1061	3615
227	1065	3607
228	1068	3599
229	1073	3593
230	1077	3585
231	1081	3578
232	1085	3572
233	1089	3565
234	1093	3558
235	1097	3552
236	1101	3545
237	1105	3538
238	1108	3530
239	1112	3524
240	1116	3517
241	1120	3510
242	1124	3503
243	1128	3497
244	1133	3492
245	1137	3486
246	1141	3481
247	1146	3474
248	1150	3470
249	1155	3465
250	1159	3458
251	1163	3452
252	1167	3446
253	1171	3439
254	1175	3433
255	1179	3427
256	1183	3421
257	1187	3414
258	1191	3409
259	1195	3403
260	1199	3396
261	1203	3390
262	1207	3383
263	1211	3377
264	1214	3369
265	1219	3364
266	1222	3357
267	1226	3350
268	1230	3345
269	1235	3340
270	1239	3333
271	1243	3327
272	1247	3321
273	1251	3316
274	1256	3311
275	1259	3304
276	1264	3300
277	1268	3295
278	1272	3289
279	1276	3282
280	1280	3276
281	1285	3272
282	1289	3266
283	1293	3260
284	1298	3257
285	1302	3251
286	1307	3247
287	1311	3241
288	1315	3235
289	1320	3231
290	1324	3226
291	1327	3219
292	1332	3214
293	1335	3207
294	1339	3201
295	1343	3195
296	1347	3189
297	1351	3183
298	1355	3177
299	1359	3172
300	1363	3166
301	1368	3162
302	1372	3156
303	1376	3151
304	1380	3146
305	1384	3141
306	1389	3136
307	1394	3132
308	1398	3127
309	1402	3122
310	1407	3119
311	1412	3113
312	1417	3110
313	1422	3107
314	1426	3103
315	1430	3097
316	1435	3093
317	1439	3088
318	1443	3082
319	1448	3078
320	1452	3073
321	1456	3067
322	1460	3061
323	1464	3055
324	1468	3050
325	1473	3045
326	1476	3039
327	1480	3033
328	1484	3028
329	1488	3022
330	1492	3017
331	1497	3012
332	1501	3006
333	1505	3001
334	1509	2995
335	1513	2989
336	1517	2984
337	1521	2979
338	1525	2973
339	1528	2967
340	1532	2962
341	1536	2956
342	1540	2951
343	1544	2946
344	1549	2941
345	1553	2935
346	1557	2930
347	1561	2925
348	1565	2920
349	1569	2914
350	1573	2908
351	1576	2902
352	1580	2897
353	1584	2891
354	1588	2885
355	1591	2879
356	1595	2874
357	1599	2868
358	1603	2862
359	1607	2857
360	1611	2852
361	1615	2847
362	1619	2841
363	1623	2836
364	1627	2830
365	1630	2825
366	1634	2819
367	1639	2815
368	1643	2809
369	1647	2804
370	1650	2798
371	1655	2794
372	1659	2789
373	1663	2784
374	1667	2779
375	1672	2775
376	1676	2770
377	1680	2765
378	1684	2759
379	1688	2754
380	1691	2748
381	1695	2743
382	1699	2737
